"genesysId","instCode","acceNumb","genus"
"8327","USA016","PI 585334","Sorghum"
"8328","USA016","PI 585367","Sorghum"
"8329","USA016","PI 585402","Sorghum"
"8331","USA016","PI 585538","Sorghum"
"8332","USA016","PI 585547","Sorghum"
"8333","USA016","PI 585596","Sorghum"
"8334","USA016","PI 585620","Sorghum"
"8335","USA016","PI 585660","Sorghum"
"8336","USA016","PI 585744","Sorghum"
"8338","USA016","PI 585809","Sorghum"
"8339","USA016","PI 585819","Sorghum"
"8340","USA016","PI 585827","Sorghum"
"8341","USA016","PI 585996","Sorghum"
"8342","USA016","PI 585998","Sorghum"
"8343","USA016","PI 586018","Sorghum"
"8344","USA016","PI 586026","Sorghum"
"8345","USA016","PI 586040","Sorghum"
"8347","USA016","PI 586056","Sorghum"
"8348","USA016","PI 586087","Sorghum"
"8349","USA016","PI 586101","Sorghum"
"8350","USA016","PI 586126","Sorghum"
"8351","USA016","PI 586163","Sorghum"
"8352","USA016","PI 586187","Sorghum"
"8353","USA016","PI 586216","Sorghum"
"8354","USA016","PI 586354","Sorghum"
"8355","USA016","PI 586400","Sorghum"
"8356","USA016","PI 586433","Sorghum"
"8357","USA016","PI 586528","Sorghum"
"24169","USA016","PI 585315","Sorghum"
"24170","USA016","PI 585332","Sorghum"
"24172","USA016","PI 585363","Sorghum"
"24174","USA016","PI 585424","Sorghum"
"24175","USA016","PI 585535","Sorghum"
"24176","USA016","PI 585551","Sorghum"
"24177","USA016","PI 585577","Sorghum"
"24178","USA016","PI 585607","Sorghum"
"24179","USA016","PI 585643","Sorghum"
"24180","USA016","PI 585659","Sorghum"
"24181","USA016","PI 585663","Sorghum"
"24182","USA016","PI 585689","Sorghum"
"24183","USA016","PI 585760","Sorghum"
"24185","USA016","PI 585783","Sorghum"
"24186","USA016","PI 585889","Sorghum"
"24187","USA016","PI 585902","Sorghum"
"24188","USA016","PI 585909","Sorghum"
"24189","USA016","PI 585939","Sorghum"
"24190","USA016","PI 585957","Sorghum"
"24191","USA016","PI 585990","Sorghum"
"24192","USA016","PI 586027","Sorghum"
"24193","USA016","PI 586060","Sorghum"
"24196","USA016","PI 586131","Sorghum"
"24198","USA016","PI 586236","Sorghum"
"24200","USA016","PI 586262","Sorghum"
"24201","USA016","PI 586289","Sorghum"
"24202","USA016","PI 586347","Sorghum"
"24203","USA016","PI 586378","Sorghum"
"24204","USA016","PI 586399","Sorghum"
"24205","USA016","PI 586458","Sorghum"
"24206","USA016","PI 586508","Sorghum"
"40251","USA016","PI 585417","Sorghum"
"40252","USA016","PI 585453","Sorghum"
"40253","USA016","PI 585455","Sorghum"
"40254","USA016","PI 585464","Sorghum"
"40255","USA016","PI 585473","Sorghum"
"40256","USA016","PI 585515","Sorghum"
"40257","USA016","PI 585522","Sorghum"
"40259","USA016","PI 585579","Sorghum"
"40260","USA016","PI 585605","Sorghum"
"40261","USA016","PI 585675","Sorghum"
"40262","USA016","PI 585684","Sorghum"
"40264","USA016","PI 585697","Sorghum"
"40265","USA016","PI 585738","Sorghum"
"40266","USA016","PI 585758","Sorghum"
"40267","USA016","PI 585821","Sorghum"
"40269","USA016","PI 585919","Sorghum"
"40270","USA016","PI 585956","Sorghum"
"40271","USA016","PI 585966","Sorghum"
"40272","USA016","PI 586031","Sorghum"
"40273","USA016","PI 586081","Sorghum"
"40274","USA016","PI 586137","Sorghum"
"40276","USA016","PI 586155","Sorghum"
"40278","USA016","PI 586208","Sorghum"
"40279","USA016","PI 586214","Sorghum"
"40280","USA016","PI 586223","Sorghum"
"40281","USA016","PI 586238","Sorghum"
"40283","USA016","PI 586298","Sorghum"
"40284","USA016","PI 586299","Sorghum"
"40285","USA016","PI 586376","Sorghum"
"40286","USA016","PI 586428","Sorghum"
"40287","USA016","PI 586494","Sorghum"
"40288","USA016","PI 586504","Sorghum"
"40289","USA016","PI 586534","Sorghum"
"56007","USA016","PI 585328","Sorghum"
"56008","USA016","PI 585343","Sorghum"
"56009","USA016","PI 585368","Sorghum"
"56010","USA016","PI 585375","Sorghum"
"56011","USA016","PI 585379","Sorghum"
"56012","USA016","PI 585401","Sorghum"
"56014","USA016","PI 585432","Sorghum"
"56015","USA016","PI 585447","Sorghum"
"56016","USA016","PI 585457","Sorghum"
"56017","USA016","PI 585482","Sorghum"
"56019","USA016","PI 585533","Sorghum"
"56020","USA016","PI 585557","Sorghum"
"56021","USA016","PI 585598","Sorghum"
"56022","USA016","PI 585632","Sorghum"
"56024","USA016","PI 585719","Sorghum"
"56025","USA016","PI 585727","Sorghum"
"56026","USA016","PI 585791","Sorghum"
"56027","USA016","PI 585816","Sorghum"
"56028","USA016","PI 585840","Sorghum"
"56029","USA016","PI 585863","Sorghum"
"56030","USA016","PI 585897","Sorghum"
"56031","USA016","PI 585942","Sorghum"
"56032","USA016","PI 585971","Sorghum"
"56034","USA016","PI 586062","Sorghum"
"56035","USA016","PI 586083","Sorghum"
"56036","USA016","PI 586143","Sorghum"
"56037","USA016","PI 586169","Sorghum"
"56038","USA016","PI 586231","Sorghum"
"56039","USA016","PI 586248","Sorghum"
"56041","USA016","PI 586254","Sorghum"
"56042","USA016","PI 586313","Sorghum"
"56043","USA016","PI 586343","Sorghum"
"56044","USA016","PI 586395","Sorghum"
"56046","USA016","PI 586453","Sorghum"
"56047","USA016","PI 586529","Sorghum"
"72069","USA016","PI 585311","Sorghum"
"72070","USA016","PI 585385","Sorghum"
"72071","USA016","PI 585388","Sorghum"
"72072","USA016","PI 585443","Sorghum"
"72073","USA016","PI 585483","Sorghum"
"72074","USA016","PI 585503","Sorghum"
"72075","USA016","PI 585506","Sorghum"
"72076","USA016","PI 585528","Sorghum"
"72078","USA016","PI 585561","Sorghum"
"72079","USA016","PI 585581","Sorghum"
"72080","USA016","PI 585611","Sorghum"
"72081","USA016","PI 585622","Sorghum"
"72082","USA016","PI 585631","Sorghum"
"72083","USA016","PI 585654","Sorghum"
"72084","USA016","PI 585657","Sorghum"
"72085","USA016","PI 585688","Sorghum"
"72089","USA016","PI 585764","Sorghum"
"72090","USA016","PI 585774","Sorghum"
"72091","USA016","PI 585784","Sorghum"
"72092","USA016","PI 585853","Sorghum"
"72094","USA016","PI 585877","Sorghum"
"72095","USA016","PI 585879","Sorghum"
"72096","USA016","PI 585955","Sorghum"
"72097","USA016","PI 585970","Sorghum"
"72101","USA016","PI 586071","Sorghum"
"72102","USA016","PI 586090","Sorghum"
"72103","USA016","PI 586146","Sorghum"
"72104","USA016","PI 586162","Sorghum"
"72105","USA016","PI 586180","Sorghum"
"72106","USA016","PI 586209","Sorghum"
"72110","USA016","PI 586330","Sorghum"
"72111","USA016","PI 586373","Sorghum"
"72112","USA016","PI 586443","Sorghum"
"72113","USA016","PI 586485","Sorghum"
"72114","USA016","PI 586495","Sorghum"
"72115","USA016","PI 586514","Sorghum"
"88115","USA016","PI 585300","Sorghum"
"88116","USA016","PI 585339","Sorghum"
"88117","USA016","PI 585434","Sorghum"
"88118","USA016","PI 585440","Sorghum"
"88119","USA016","PI 585479","Sorghum"
"88120","USA016","PI 585492","Sorghum"
"88121","USA016","PI 585546","Sorghum"
"88122","USA016","PI 585548","Sorghum"
"88124","USA016","PI 585559","Sorghum"
"88125","USA016","PI 585608","Sorghum"
"88126","USA016","PI 585619","Sorghum"
"88127","USA016","PI 585630","Sorghum"
"88128","USA016","PI 585648","Sorghum"
"88129","USA016","PI 585653","Sorghum"
"88131","USA016","PI 585800","Sorghum"
"88132","USA016","PI 585804","Sorghum"
"88134","USA016","PI 585886","Sorghum"
"88135","USA016","PI 585917","Sorghum"
"88136","USA016","PI 586001","Sorghum"
"88137","USA016","PI 586055","Sorghum"
"88138","USA016","PI 586084","Sorghum"
"88139","USA016","PI 586085","Sorghum"
"88140","USA016","PI 586119","Sorghum"
"88141","USA016","PI 586182","Sorghum"
"88142","USA016","PI 586188","Sorghum"
"88143","USA016","PI 586190","Sorghum"
"88144","USA016","PI 586196","Sorghum"
"88145","USA016","PI 586220","Sorghum"
"88146","USA016","PI 586226","Sorghum"
"88147","USA016","PI 586267","Sorghum"
"88148","USA016","PI 586293","Sorghum"
"88149","USA016","PI 586301","Sorghum"
"88150","USA016","PI 586369","Sorghum"
"88151","USA016","PI 586388","Sorghum"
"88152","USA016","PI 586390","Sorghum"
"88153","USA016","PI 586394","Sorghum"
"88154","USA016","PI 586469","Sorghum"
"88155","USA016","PI 586470","Sorghum"
"88156","USA016","PI 586477","Sorghum"
"88157","USA016","PI 586484","Sorghum"
"88158","USA016","PI 586526","Sorghum"
"104113","USA016","PI 585297","Sorghum"
"104114","USA016","PI 585306","Sorghum"
"104115","USA016","PI 585318","Sorghum"
"104116","USA016","PI 585403","Sorghum"
"104117","USA016","PI 585406","Sorghum"
"104118","USA016","PI 585486","Sorghum"
"104119","USA016","PI 585496","Sorghum"
"104120","USA016","PI 585527","Sorghum"
"104121","USA016","PI 585544","Sorghum"
"104122","USA016","PI 585549","Sorghum"
"104123","USA016","PI 585582","Sorghum"
"104124","USA016","PI 585587","Sorghum"
"104125","USA016","PI 585601","Sorghum"
"104126","USA016","PI 585616","Sorghum"
"104127","USA016","PI 585621","Sorghum"
"104128","USA016","PI 585624","Sorghum"
"104129","USA016","PI 585636","Sorghum"
"104130","USA016","PI 585670","Sorghum"
"104133","USA016","PI 585743","Sorghum"
"104134","USA016","PI 585768","Sorghum"
"104137","USA016","PI 585818","Sorghum"
"104138","USA016","PI 585859","Sorghum"
"104140","USA016","PI 585976","Sorghum"
"104141","USA016","PI 585984","Sorghum"
"104142","USA016","PI 586073","Sorghum"
"104143","USA016","PI 586089","Sorghum"
"104144","USA016","PI 586098","Sorghum"
"104146","USA016","PI 586139","Sorghum"
"104147","USA016","PI 586149","Sorghum"
"104148","USA016","PI 586152","Sorghum"
"104149","USA016","PI 586203","Sorghum"
"104151","USA016","PI 586253","Sorghum"
"104152","USA016","PI 586256","Sorghum"
"104153","USA016","PI 586331","Sorghum"
"104154","USA016","PI 586385","Sorghum"
"104155","USA016","PI 586425","Sorghum"
"104156","USA016","PI 586426","Sorghum"
"104157","USA016","PI 586505","Sorghum"
"120021","USA016","PI 585351","Sorghum"
"120022","USA016","PI 585353","Sorghum"
"120023","USA016","PI 585371","Sorghum"
"120024","USA016","PI 585412","Sorghum"
"120025","USA016","PI 585413","Sorghum"
"120027","USA016","PI 585474","Sorghum"
"120028","USA016","PI 585500","Sorghum"
"120029","USA016","PI 585513","Sorghum"
"120030","USA016","PI 585575","Sorghum"
"120031","USA016","PI 585594","Sorghum"
"120032","USA016","PI 585634","Sorghum"
"120033","USA016","PI 585652","Sorghum"
"120034","USA016","PI 585682","Sorghum"
"120035","USA016","PI 585799","Sorghum"
"120036","USA016","PI 585823","Sorghum"
"120038","USA016","PI 585855","Sorghum"
"120039","USA016","PI 585893","Sorghum"
"120040","USA016","PI 585906","Sorghum"
"120041","USA016","PI 585974","Sorghum"
"120042","USA016","PI 585989","Sorghum"
"120045","USA016","PI 586046","Sorghum"
"120046","USA016","PI 586086","Sorghum"
"120047","USA016","PI 586133","Sorghum"
"120048","USA016","PI 586147","Sorghum"
"120049","USA016","PI 586160","Sorghum"
"120050","USA016","PI 586228","Sorghum"
"120051","USA016","PI 586245","Sorghum"
"120052","USA016","PI 586273","Sorghum"
"120053","USA016","PI 586275","Sorghum"
"120054","USA016","PI 586285","Sorghum"
"120055","USA016","PI 586318","Sorghum"
"120056","USA016","PI 586360","Sorghum"
"120057","USA016","PI 586365","Sorghum"
"120058","USA016","PI 586440","Sorghum"
"120059","USA016","PI 586441","Sorghum"
"120060","USA016","PI 586459","Sorghum"
"120061","USA016","PI 586482","Sorghum"
"120062","USA016","PI 586499","Sorghum"
"120063","USA016","PI 586503","Sorghum"
"120064","USA016","PI 586513","Sorghum"
"135992","USA016","PI 585329","Sorghum"
"135993","USA016","PI 585391","Sorghum"
"135994","USA016","PI 585411","Sorghum"
"135995","USA016","PI 585433","Sorghum"
"135996","USA016","PI 585462","Sorghum"
"135998","USA016","PI 585512","Sorghum"
"135999","USA016","PI 585572","Sorghum"
"136000","USA016","PI 585604","Sorghum"
"136001","USA016","PI 585629","Sorghum"
"136002","USA016","PI 585646","Sorghum"
"136004","USA016","PI 585711","Sorghum"
"136005","USA016","PI 585718","Sorghum"
"136006","USA016","PI 585734","Sorghum"
"136008","USA016","PI 585753","Sorghum"
"136009","USA016","PI 585779","Sorghum"
"136011","USA016","PI 585803","Sorghum"
"136012","USA016","PI 585851","Sorghum"
"136013","USA016","PI 585856","Sorghum"
"136015","USA016","PI 585930","Sorghum"
"136016","USA016","PI 585945","Sorghum"
"136017","USA016","PI 585952","Sorghum"
"136018","USA016","PI 586095","Sorghum"
"136019","USA016","PI 586110","Sorghum"
"136020","USA016","PI 586135","Sorghum"
"136021","USA016","PI 586260","Sorghum"
"136022","USA016","PI 586307","Sorghum"
"136023","USA016","PI 586371","Sorghum"
"136024","USA016","PI 586411","Sorghum"
"136025","USA016","PI 586413","Sorghum"
"136026","USA016","PI 586429","Sorghum"
"136027","USA016","PI 586434","Sorghum"
"136028","USA016","PI 586464","Sorghum"
"152077","USA016","PI 585301","Sorghum"
"152078","USA016","PI 585305","Sorghum"
"152079","USA016","PI 585310","Sorghum"
"152080","USA016","PI 585320","Sorghum"
"152081","USA016","PI 585342","Sorghum"
"152082","USA016","PI 585370","Sorghum"
"152083","USA016","PI 585451","Sorghum"
"152084","USA016","PI 585454","Sorghum"
"152085","USA016","PI 585509","Sorghum"
"152086","USA016","PI 585523","Sorghum"
"152087","USA016","PI 585553","Sorghum"
"152089","USA016","PI 585736","Sorghum"
"152091","USA016","PI 585751","Sorghum"
"152092","USA016","PI 585755","Sorghum"
"152093","USA016","PI 585792","Sorghum"
"152094","USA016","PI 585833","Sorghum"
"152095","USA016","PI 585835","Sorghum"
"152096","USA016","PI 585845","Sorghum"
"152097","USA016","PI 585849","Sorghum"
"152098","USA016","PI 585865","Sorghum"
"152100","USA016","PI 585876","Sorghum"
"152101","USA016","PI 585895","Sorghum"
"152102","USA016","PI 585961","Sorghum"
"152103","USA016","PI 585969","Sorghum"
"152104","USA016","PI 585979","Sorghum"
"152105","USA016","PI 585992","Sorghum"
"152106","USA016","PI 586023","Sorghum"
"152107","USA016","PI 586047","Sorghum"
"152108","USA016","PI 586051","Sorghum"
"152109","USA016","PI 586116","Sorghum"
"152110","USA016","PI 586121","Sorghum"
"152111","USA016","PI 586132","Sorghum"
"152112","USA016","PI 586181","Sorghum"
"152113","USA016","PI 586194","Sorghum"
"152114","USA016","PI 586217","Sorghum"
"152115","USA016","PI 586222","Sorghum"
"152116","USA016","PI 586225","Sorghum"
"152117","USA016","PI 586229","Sorghum"
"152118","USA016","PI 586252","Sorghum"
"152119","USA016","PI 586271","Sorghum"
"152121","USA016","PI 586415","Sorghum"
"152122","USA016","PI 586430","Sorghum"
"152123","USA016","PI 586455","Sorghum"
"152124","USA016","PI 586519","Sorghum"
"152125","USA016","PI 586521","Sorghum"
"153336","USA016","PI 457191","Sorghum"
"167901","USA016","PI 585327","Sorghum"
"167902","USA016","PI 585344","Sorghum"
"167903","USA016","PI 585349","Sorghum"
"167904","USA016","PI 585376","Sorghum"
"167905","USA016","PI 585421","Sorghum"
"167906","USA016","PI 585452","Sorghum"
"167907","USA016","PI 585566","Sorghum"
"167908","USA016","PI 585568","Sorghum"
"167910","USA016","PI 585683","Sorghum"
"167911","USA016","PI 585693","Sorghum"
"167912","USA016","PI 585737","Sorghum"
"167914","USA016","PI 585846","Sorghum"
"167917","USA016","PI 585896","Sorghum"
"167918","USA016","PI 585915","Sorghum"
"167919","USA016","PI 585947","Sorghum"
"167920","USA016","PI 585993","Sorghum"
"167921","USA016","PI 586010","Sorghum"
"167923","USA016","PI 586142","Sorghum"
"167924","USA016","PI 586213","Sorghum"
"167925","USA016","PI 586239","Sorghum"
"167926","USA016","PI 586246","Sorghum"
"167927","USA016","PI 586274","Sorghum"
"167928","USA016","PI 586287","Sorghum"
"167929","USA016","PI 586308","Sorghum"
"167930","USA016","PI 586323","Sorghum"
"167931","USA016","PI 586377","Sorghum"
"167932","USA016","PI 586416","Sorghum"
"167933","USA016","PI 586461","Sorghum"
"167934","USA016","PI 586472","Sorghum"
"167935","USA016","PI 586473","Sorghum"
"167936","USA016","PI 586483","Sorghum"
"167937","USA016","PI 586507","Sorghum"
"167938","USA016","PI 586523","Sorghum"
"167939","USA016","PI 586533","Sorghum"
"183853","USA016","PI 585296","Sorghum"
"183854","USA016","PI 585336","Sorghum"
"183855","USA016","PI 585360","Sorghum"
"183856","USA016","PI 585465","Sorghum"
"183857","USA016","PI 585477","Sorghum"
"183858","USA016","PI 585480","Sorghum"
"183859","USA016","PI 585524","Sorghum"
"183860","USA016","PI 585613","Sorghum"
"183861","USA016","PI 585618","Sorghum"
"183862","USA016","PI 585644","Sorghum"
"183863","USA016","PI 585690","Sorghum"
"183864","USA016","PI 585696","Sorghum"
"183865","USA016","PI 585839","Sorghum"
"183866","USA016","PI 585881","Sorghum"
"183867","USA016","PI 585901","Sorghum"
"183868","USA016","PI 585933","Sorghum"
"183870","USA016","PI 585987","Sorghum"
"183872","USA016","PI 586076","Sorghum"
"183873","USA016","PI 586082","Sorghum"
"183874","USA016","PI 586097","Sorghum"
"183875","USA016","PI 586136","Sorghum"
"183877","USA016","PI 586154","Sorghum"
"183878","USA016","PI 586199","Sorghum"
"183880","USA016","PI 586251","Sorghum"
"183881","USA016","PI 586303","Sorghum"
"183882","USA016","PI 586355","Sorghum"
"183883","USA016","PI 586379","Sorghum"
"183884","USA016","PI 586444","Sorghum"
"183885","USA016","PI 586467","Sorghum"
"183886","USA016","PI 586486","Sorghum"
"183887","USA016","PI 586501","Sorghum"
"199702","USA016","PI 585324","Sorghum"
"199703","USA016","PI 585331","Sorghum"
"199704","USA016","PI 585361","Sorghum"
"199705","USA016","PI 585373","Sorghum"
"199707","USA016","PI 585396","Sorghum"
"199708","USA016","PI 585466","Sorghum"
"199709","USA016","PI 585498","Sorghum"
"199710","USA016","PI 585588","Sorghum"
"199711","USA016","PI 585639","Sorghum"
"199712","USA016","PI 585674","Sorghum"
"199713","USA016","PI 585704","Sorghum"
"199714","USA016","PI 585728","Sorghum"
"199719","USA016","PI 586030","Sorghum"
"199720","USA016","PI 586036","Sorghum"
"199721","USA016","PI 586039","Sorghum"
"199722","USA016","PI 586058","Sorghum"
"199724","USA016","PI 586157","Sorghum"
"199726","USA016","PI 586264","Sorghum"
"199728","USA016","PI 586306","Sorghum"
"199729","USA016","PI 586317","Sorghum"
"199730","USA016","PI 586324","Sorghum"
"199731","USA016","PI 586392","Sorghum"
"199732","USA016","PI 586447","Sorghum"
"199733","USA016","PI 586448","Sorghum"
"199734","USA016","PI 586456","Sorghum"
"199736","USA016","PI 586512","Sorghum"
"199737","USA016","PI 586518","Sorghum"
"199738","USA016","PI 586525","Sorghum"
"215704","USA016","PI 585321","Sorghum"
"215705","USA016","PI 585392","Sorghum"
"215706","USA016","PI 585485","Sorghum"
"215707","USA016","PI 585493","Sorghum"
"215709","USA016","PI 585532","Sorghum"
"215710","USA016","PI 585574","Sorghum"
"215711","USA016","PI 585627","Sorghum"
"215712","USA016","PI 585662","Sorghum"
"215714","USA016","PI 585677","Sorghum"
"215716","USA016","PI 585705","Sorghum"
"215717","USA016","PI 585771","Sorghum"
"215718","USA016","PI 585772","Sorghum"
"215720","USA016","PI 585842","Sorghum"
"215721","USA016","PI 585866","Sorghum"
"215722","USA016","PI 585973","Sorghum"
"215723","USA016","PI 586003","Sorghum"
"215724","USA016","PI 586021","Sorghum"
"215725","USA016","PI 586029","Sorghum"
"215728","USA016","PI 586080","Sorghum"
"215730","USA016","PI 586114","Sorghum"
"215731","USA016","PI 586151","Sorghum"
"215732","USA016","PI 586164","Sorghum"
"215735","USA016","PI 586250","Sorghum"
"215736","USA016","PI 586304","Sorghum"
"215737","USA016","PI 586336","Sorghum"
"215738","USA016","PI 586357","Sorghum"
"215739","USA016","PI 586372","Sorghum"
"215740","USA016","PI 586396","Sorghum"
"215741","USA016","PI 586405","Sorghum"
"215742","USA016","PI 586407","Sorghum"
"215743","USA016","PI 586475","Sorghum"
"215744","USA016","PI 586490","Sorghum"
"231621","USA016","PI 585357","Sorghum"
"231622","USA016","PI 585358","Sorghum"
"231623","USA016","PI 585377","Sorghum"
"231624","USA016","PI 585576","Sorghum"
"231625","USA016","PI 585600","Sorghum"
"231626","USA016","PI 585623","Sorghum"
"231628","USA016","PI 585724","Sorghum"
"231629","USA016","PI 585754","Sorghum"
"231630","USA016","PI 585761","Sorghum"
"231631","USA016","PI 585798","Sorghum"
"231632","USA016","PI 585811","Sorghum"
"231633","USA016","PI 585848","Sorghum"
"231637","USA016","PI 585882","Sorghum"
"231638","USA016","PI 585921","Sorghum"
"231639","USA016","PI 586024","Sorghum"
"231640","USA016","PI 586127","Sorghum"
"231641","USA016","PI 586141","Sorghum"
"231642","USA016","PI 586144","Sorghum"
"231643","USA016","PI 586174","Sorghum"
"231644","USA016","PI 586197","Sorghum"
"231645","USA016","PI 586259","Sorghum"
"231646","USA016","PI 586283","Sorghum"
"231647","USA016","PI 586286","Sorghum"
"231648","USA016","PI 586290","Sorghum"
"231649","USA016","PI 586302","Sorghum"
"231651","USA016","PI 586414","Sorghum"
"231652","USA016","PI 586480","Sorghum"
"231653","USA016","PI 586488","Sorghum"
"231654","USA016","PI 586530","Sorghum"
"247420","USA016","PI 585316","Sorghum"
"247421","USA016","PI 585317","Sorghum"
"247422","USA016","PI 585348","Sorghum"
"247423","USA016","PI 585384","Sorghum"
"247424","USA016","PI 585495","Sorghum"
"247425","USA016","PI 585550","Sorghum"
"247427","USA016","PI 585637","Sorghum"
"247428","USA016","PI 585642","Sorghum"
"247429","USA016","PI 585658","Sorghum"
"247430","USA016","PI 585726","Sorghum"
"247432","USA016","PI 585752","Sorghum"
"247433","USA016","PI 585766","Sorghum"
"247435","USA016","PI 585834","Sorghum"
"247436","USA016","PI 585836","Sorghum"
"247437","USA016","PI 585843","Sorghum"
"247438","USA016","PI 585873","Sorghum"
"247439","USA016","PI 585878","Sorghum"
"247440","USA016","PI 585880","Sorghum"
"247441","USA016","PI 585887","Sorghum"
"247442","USA016","PI 585913","Sorghum"
"247443","USA016","PI 585924","Sorghum"
"247444","USA016","PI 585981","Sorghum"
"247445","USA016","PI 586002","Sorghum"
"247446","USA016","PI 586004","Sorghum"
"247447","USA016","PI 586007","Sorghum"
"247448","USA016","PI 586020","Sorghum"
"247449","USA016","PI 586069","Sorghum"
"247450","USA016","PI 586074","Sorghum"
"247451","USA016","PI 586079","Sorghum"
"247452","USA016","PI 586099","Sorghum"
"247453","USA016","PI 586102","Sorghum"
"247454","USA016","PI 586115","Sorghum"
"247455","USA016","PI 586118","Sorghum"
"247456","USA016","PI 586221","Sorghum"
"247458","USA016","PI 586234","Sorghum"
"247460","USA016","PI 586257","Sorghum"
"247461","USA016","PI 586296","Sorghum"
"247462","USA016","PI 586305","Sorghum"
"247463","USA016","PI 586344","Sorghum"
"247464","USA016","PI 586356","Sorghum"
"247465","USA016","PI 586432","Sorghum"
"247466","USA016","PI 586435","Sorghum"
"247467","USA016","PI 586436","Sorghum"
"247468","USA016","PI 586439","Sorghum"
"247469","USA016","PI 586442","Sorghum"
"247470","USA016","PI 586463","Sorghum"
"247471","USA016","PI 586471","Sorghum"
"247472","USA016","PI 586506","Sorghum"
"263308","USA016","PI 585299","Sorghum"
"263309","USA016","PI 585302","Sorghum"
"263310","USA016","PI 585352","Sorghum"
"263311","USA016","PI 585383","Sorghum"
"263312","USA016","PI 585397","Sorghum"
"263314","USA016","PI 585404","Sorghum"
"263315","USA016","PI 585426","Sorghum"
"263316","USA016","PI 585437","Sorghum"
"263317","USA016","PI 585458","Sorghum"
"263318","USA016","PI 585463","Sorghum"
"263319","USA016","PI 585472","Sorghum"
"263320","USA016","PI 585489","Sorghum"
"263321","USA016","PI 585580","Sorghum"
"263322","USA016","PI 585635","Sorghum"
"263323","USA016","PI 585647","Sorghum"
"263324","USA016","PI 585655","Sorghum"
"263325","USA016","PI 585715","Sorghum"
"263326","USA016","PI 585773","Sorghum"
"263327","USA016","PI 585782","Sorghum"
